State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings,TotalCrime,StateCrime,CrimeScore
AZ,Mohave County,16.8,45129.0,2018,5.708333333333332,54.945,8.37,95355516.0,5.0,59.20564420584969,209292,2.92,1394040.2165927356,195969.8,2207.0,18170.0,-25421.433351678592
AZ,Navajo County,28.5,40650.0,2018,7.7,54.945,8.37,95355516.0,5.0,48.882845303867406,110242,1.54,734293.6259274906,107502.0,396.0,18170.0,-2402.632471106219
AZ,Pima County,16.2,53395.0,2018,4.433333333333334,54.945,8.37,95355516.0,5.0,58.425775444264936,1036554,14.48,6904219.763154189,1942436.5,9193.0,18170.0,-524438.1354980737
AZ,Pinal County,12.9,58848.0,2018,5.0,54.945,8.37,95355516.0,5.0,58.54835195530725,446806,6.24,2976059.921138571,1377424.0,2019.0,18170.0,-49647.84336818932
AZ,Santa Cruz County,24.4,40545.0,2018,9.225,54.945,8.37,95355516.0,5.0,48.25087360594796,46395,0.65,309025.16985274147,50456.4,150.0,18170.0,-383.00770500825536
AZ,Yavapai County,13.2,48758.0,2018,4.441666666666666,54.945,8.37,95355516.0,5.0,58.26838214454417,231772,3.24,1543773.718441849,1166263.7,1190.0,18170.0,-15179.343973582829
AZ,Yuma County,19.5,44116.0,2018,16.925,54.945,8.37,95355516.0,5.0,45.884258750857924,211612,2.96,1409493.140271114,198318.2,1000.0,18170.0,-11646.230049532196
AZ,Apache County,33.4,35386.0,2019,10.075,52.92,8.4,66078612.0,5.0,45.17980448533641,71887,0.99,326307.0387847199,993502.4,0.0,8326.0,0.0
AZ,Cochise County,16.6,48650.0,2019,5.791666666666668,52.92,8.4,66078612.0,5.0,57.21363602530703,125922,1.73,571580.8830226536,85798.3,578.0,8326.0,-8741.642565457603
AZ,Coconino County,15.9,58301.0,2019,5.758333333333333,52.92,8.4,66078612.0,5.0,57.147356675644474,143476,1.97,651261.4060494453,96368.0,391.0,8326.0,-6737.823204419889
AZ,Gila County,21.1,45980.0,2019,5.683333333333334,52.92,8.4,66078612.0,5.0,50.68132545115122,54018,0.74,245196.67841296762,42086.9,560.0,8326.0,-3633.2068220033634
AZ,Graham County,20.1,50685.0,2019,4.941666666666666,52.92,8.4,66078612.0,5.0,50.936755407653905,38837,0.53,176287.59671821285,23368.1,165.0,8326.0,-769.6498919048763
AZ,Greenlee County,9.3,68066.0,2019,4.008333333333333,52.92,8.4,66078612.0,5.0,55.72106449592986,9498,0.13,43113.000325194684,5544.2,0.0,8326.0,0.0
AZ,La Paz County,22.1,39407.0,2019,6.0166666666666675,52.92,8.4,66078612.0,5.0,50.55541790160048,21108,0.29,95812.71961088746,12513.4,350.0,8326.0,-887.31683881816
AZ,Maricopa County,12.2,68634.0,2019,4.183333333333334,52.92,8.4,66078612.0,5.0,56.03515768056969,4485414,61.62,20360039.507331308,3881242.1,0.0,8326.0,0.0
AZ,Mohave County,16.0,49712.0,2019,5.8583333333333325,52.92,8.4,66078612.0,5.0,57.208219595882575,212181,2.92,963124.8180669751,138304.8,2118.0,8326.0,-53975.42133077108
AZ,Navajo County,25.2,40676.0,2019,7.575,52.92,8.4,66078612.0,5.0,47.095743707093824,110924,1.52,503502.4687378284,76478.8,384.0,8326.0,-5115.8798943069905
AZ,Pima County,14.0,56150.0,2019,4.55,52.92,8.4,66078612.0,5.0,56.35396226415094,1047279,14.39,4753773.412041435,1635027.9,0.0,8326.0,0.0
AZ,Pinal County,12.1,62067.0,2019,5.05,52.92,8.4,66078612.0,5.0,56.48297376093295,462789,6.36,2100676.1747206277,300752.9,1666.0,8326.0,-92602.26687484987
AZ,Santa Cruz County,18.8,47779.0,2019,8.733333333333333,52.92,8.4,66078612.0,5.0,46.95680387409201,46498,0.64,211062.14878089086,37507.9,118.0,8326.0,-658.9915926014894
AZ,Yavapai County,12.0,54242.0,2019,4.558333333333334,52.92,8.4,66078612.0,5.0,56.22347257171616,235099,3.23,1067153.4284536685,152391.4,1053.0,8326.0,-29733.274921931305
AZ,Yuma County,20.4,47024.0,2019,16.833333333333332,52.92,8.4,66078612.0,5.0,43.69708146821844,213787,2.94,970414.7189431874,139579.7,943.0,8326.0,-24213.444751381216
AZ,Mohave County,19.55,39853.5,2015,7.941666666666666,63.0,8.25,40260979.0,5.0,68.64751439830253,204574,3.0,602982.4487974247,90071.4,2152.0,26151.0,-16834.66207793201
AZ,Yuma County,20.950000000000006,41349.0,2015,21.68333333333333,63.0,8.25,40260979.0,5.0,52.344820172009385,205186,3.0,604786.3205439028,90259.5,1144.0,26151.0,-8976.053841153302
AZ,Yavapai County,14.45,46984.5,2015,5.625,63.0,8.25,40260979.0,5.0,67.04887920298879,220805,3.23,650823.3676161944,96316.7,1397.0,26151.0,-11795.517762227066
AZ,Santa Cruz County,22.25,38277.5,2015,11.541666666666664,63.0,8.25,40260979.0,5.0,55.40043156596794,46542,0.68,137182.67781795212,18067.1,185.0,26151.0,-329.2520362510038
AZ,Pinal County,16.5,51259.0,2015,6.308333333333334,63.0,8.25,40260979.0,5.0,67.56357325538912,405614,5.94,1195548.4225097941,169514.2,2385.0,26151.0,-36992.44350120454
AZ,Pima County,18.45,46757.5,2015,5.4833333333333325,63.0,8.25,40260979.0,5.0,67.22705431754875,1009103,14.78,2974333.972199926,427234.0,9709.0,26151.0,-374646.5155060992
AZ,Navajo County,28.35,36448.5,2015,9.691666666666666,63.0,8.25,40260979.0,5.0,55.777426067908,107638,1.58,317263.3121689814,51826.3,449.0,26151.0,-1848.092310045505
